observation1,observation1_code,observation2,observation2_code,observation3,observation3_code,observation4,observation4_code,observation5,observation5_code,observation6,observation6_code,observation7,observation7_code
The capital I is written differently ,1,the spacing of the sentence ,2,Exhibit B attends to extend the sentence instead of cutting it off.,2,h from exhibit A(have) and B(this) is different,1,The L's Seem to tilt on the opposite side,2,writing front is bigger,1,the letter S is written differently ,1
some letters look very similar;,0," such as a or I, however not similar enough to make that assumption",1,,NA,,NA,,NA,,NA,,NA
Look at the individual letter such as “ a” “c”,2,,NA,,NA,,NA,,NA,,NA,,NA
The robber does not dot his lower case i but Mr.s Hines does,2,The s's are different,1,The y's are different,1,The u's are different,1,The a's are different,1,,NA,,NA
gun,2,shoot,2,cash,2,,NA,,NA,,NA,,NA
At,2,"Word ""I"" are very similar such as the lenght of the vertical and horizontal line on I ",0,at - a is similar ,0,,NA,,NA,,NA,,NA
I,2,a,2,e,2,h,2,,NA,,NA,,NA
i observed the G and the differences on how theyre written,1,the spacing of the words ,2,the H and how it 2was written,2,was a little stuck on the S because it seems to be the only thing similar ,0,B has more sharp E than A,2,,NA,,NA
"The ""I"" looks different in each note.",1,The I looks different in the second note.,1,,NA,,NA,,NA,,NA,,NA
the letter “I”s look similar,0,the  angle of the hand writing is not same,0,the letter “a”s look similar,0,m,2,h,2,c,2,e,2
,NA,,NA,,NA,,NA,,NA,,NA,,NA
I,2,,NA,,NA,,NA,,NA,,NA,,NA
Matching same letters of the alphabet and comparing ,0,"Because even though an individual can forge a different writing style, they may still be affected by muscle memory",1,,NA,,NA,,NA,,NA,,NA
"I do see similarities in which the g, u, a, o, s are uniquely written, and one could say that yes he knew to space it out different. However, what makes me believe he is guilty is he was found with no gun, or cash, unless there was an accomplice there must be more evidence besides him fitting a vague description, and slight handwriting similarities. ",2,,NA,,NA,,NA,,NA,,NA,,NA
"The handwriting of Exhibit B is compact, and there are cursive handwriting habits in Exhibit B. The letters and words in Exhibit A are more discontinuous and there is no cursive handwritings. ",2,"The 'g' and 'h' for the two exhibits are different. They are more casual and somewhat unfinished in Exhibit A, while in Exhibit B they are more formal. ",1,,NA,,NA,,NA,,NA,,NA
"e; in the first sample in the word ""keep,"" the e's are not connected. In the second sample in the word ""agree,"" the e's are connected.",2,"a; the a's in the first sample were taller, whereas they were flat in the second sample.",2,t; the crosses in the t were higher up in the first sample and lower in the second sample,2,,NA,,NA,,NA,,NA
a,2,s,2,o,2,n,2,i,2,t,2,d,2
It is obvious these two notes are from different people.,1,The ways they write every letter are so different. ,1,The note from bank looks like a person use left hand to write.,2,Mr. Hines seem used his right hand.,2,"The way they write ""I"" is so different",1,The space between each word is different in this two notes.,1,"The way they write ""h"" is so different",1
The handwriting on the bottom is much neater.,2,,NA,,NA,,NA,,NA,,NA,,NA
a,2,e,2,I,2,,NA,,NA,,NA,,NA
The way he wrote certain letters,2,I's are different in the notes,1,E's are different,1,T's are different,1,K's are different,1,A's are different,1,O's are different,1
the ee is different ,1,u was different ,1,I was different,1,h was different ,1,ll was different,1,m was different ,1,g was different,1
"The note is written very sloppily compared to sample, additionally the ""t""s on the note all have the sideways dash high up, while the sample has them either centered or lowered.",2,t,2,h,2,g,2,i,2,e,2,a,2
"The way certain letters were written such as ""e"" and ""y""",2,,NA,,NA,,NA,,NA,,NA,,NA
"Capital letters, the capital letters in the bank note are significantly bigger than those in the police form",1,I,2,g,2,K,2,G,2,h,2,a,2
Some of the letters don't match,2,,NA,,NA,,NA,,NA,,NA,,NA
the l stroke,2,the u difference,1,straight and curve strokes,2,spacing,2,size of the letters,2,writing alignment,2,r looks a lil similar,0
writing style,2,similar letter spacing,0,looks very similar at a glance,0, ,NA, ,NA, ,NA, ,NA
The I's look similar,0,s,2,e,2,t,2,a,2,l,2,shoot,2
I - looks different but one written at heightened emotion,1,"h- looks the same, same shape",0,s- looks the same in some cases,0,one seems to be written with a different pen/heavier strength,1,m- looks different one has the stem one doesn't,1,r - looks more rushed in first one,2,ll - parallel,2
The r's in the first note are very different from the second,1,"In the second, he writes in much more of a straight line than in the first ",2,"However, the I in the first note is nearly identical to the I on the third line of the second note",0,the a's are different,1,,NA,,NA,,NA
I (uppercase i) looks different,1,e the e's look similar,0,a a looks similar ,0,g looks very different ,1,l (lowercase L) ,2,,NA,,NA
I’m not a detective ,2,A little different ,1,,NA,,NA,,NA,,NA,,NA
The letters h and n and a,2,Seeing if the style of the letters matched up,2,,NA,,NA,,NA,,NA,,NA
h,2,e,2,y,2,t,2,g,2,m,2,o,2
I,2,the letter i seemed really similar,0,overall i think he tried to write the form a bit different,1,,NA,,NA,,NA,,NA
"the way the ""s"" is curved was the same in both samples",0,"the way ""a"" was written was similar, although it fluctuated",0,"the ""g"" in both do not fully connect back at the top right",2,,NA,,NA,,NA,,NA
i,2,I,2,t,2,,NA,,NA,,NA,,NA
"the way the letters I,a, n,k and h are written",2,"while I a  are not as distinct but similar, the way the letter in is written shows a disconnect similar to the letter h. The letter k is also similar in that the second part of the letters are curved like I( not I< if that makes since",0,,NA,,NA,,NA,,NA,,NA
,NA,,NA,,NA,,NA,,NA,,NA,,NA
Letter a seems similar,0,"Also, he could have changed his handwriting while writing the confession in order to pretend that he didn't write the to bery note",2,,NA,,NA,,NA,,NA,,NA
"The h's, t's, and spacing between the words",2,The letters are slightly different from each other ,1, I think he is not guilty  ,2,"although some letter present similar,It is two different hand writings. ",2,there is spacing between the letters and words,2,There are more letters different than simular,1,"The A's, M,s, and more are different",1
The handwritten bank note has a more curved loopy style of writing that looks much fancier than the informal scratchy form written by Mr. Hines  ,2,g,2,h,2,,NA,,NA,,NA,,NA
G,2,,NA,,NA,,NA,,NA,,NA,,NA
it looks slightly the same but not really,0,a lot of people have this hANDWRITING,2,,NA,,NA,,NA,,NA,,NA
The wording ,2,The way the letters were written,2,space in between,2,"the ""I""",2,Scene ,2,reasoning ,2,style,2
e's look similar ,0,the h's are very different ,1,the r's are very different ,1,the l's lean two different ways in both. ,1,,NA,,NA,,NA
"Certain letters like exactly the same such as ""S"", ""A"" and it is understandable that they are slightly different due to the different situation he wrote two papers.",2,,NA,,NA,,NA,,NA,,NA,,NA
The way robber writes “Y” is different from Mr. Hines’,1,,NA,,NA,,NA,,NA,,NA,,NA
I compared the letters to each other and found various inconsistencies ,2,the I's are not slanted in the second note yet in the first note they are slanted despite lines to write on ,1,The h's have more of an arch in the second note,2,the dash across the t is placed lower on the second note than the first one ,2,The r is more pronounced in the second note ,2,the lower case g's are fatter in the second note,2,the lettering is more spaced out in the second note ,2
The spacing between the letters and words is different between both writing samples.,1,"How Mr. Hines writes the letter ""e"" is not similar to the perpetrator's handwriting ",1,"Mr. Hines' and perpetrator's writing the letter ""g"" is not the same, the Perpetrator's g has a gap while Mr. Hines closes his g.",1,"Mr.Hines connects the vowels to his ""n"", the perpetrator leaves gaps between each letter. ",2,"Sentence structure, the perpetrator makes short sentences while Mr.Hines makes a long sentence.",2,"The way that the letter ""y"" is written is very different between perpetrator and Mr. Hines.",1,"The way that the letter ""m"" is written is also different, the perpetrator put it in capital M and Mr.Hines didn't do that. ",1
" I compared the I's used as well as the spacing. I checked and though similar, it seemed even similar to my handwriting and thus showed enough differences.",2,The r difference,1,Spacing between words,2,Spacing between the L's,2,L leans left not right,2,Connection between letters for words,2,Dotted I,2
Lowercase ts are very dissimilar,0,Kerning is different ,1,Lowercase rs are moderately different,1,Lowercase as are moderately different,1,,NA,,NA,,NA
"the letter ""a""",2,"the way of writing ""y""",2,,NA,,NA,,NA,,NA,,NA
e and u,2,The way he connects the letter e and u are very similar,0,,NA,,NA,,NA,,NA,,NA
"I, similar",0,"s, similar",0,,NA,,NA,,NA,,NA,,NA
"similar ""a""s",0,"similar ""i""s",0,period spacing,2,"same ""y""ss",0,spacing between words,2,"messy ""s""",2,"same ""e""s",0
"The lowercase ""a"" in Mr. Hines' handwriting is much wider and flatter",1,"The lowercase ""e"" in Mr. Hines' handwriting has a tail on the left side",2,"The lowercase ""y"" in the robber's note seems to have been made with two strokes, whereas Mr. Hines' seems to have been made with one",2,,NA,,NA,,NA,,NA
"The way that the L's are written are different. In exhibit A, the l's lean toward the right and in exhibit B, they lean towards the left. ",1,There is much more spacing in exhibit A.,2,,NA,,NA,,NA,,NA,,NA
At first glance they look the same but one note is not enough evidence to make a decision which is why I am still unsure. ,0,e,2,i,2,,NA,,NA,,NA,,NA
The guys hand writing was way nicer than the bank robber.,1,One was nicer than the other,1,easy to read,2,was not on line,2,the G's,2,the S's,2,The l is more sideways,2
t,2,e,2,u,2,r,2,,NA,,NA,,NA
The A's look the same,0,The I,2,The way the words are structured ,2,The Y's look the same ,0,The T's look the same,0,All of the writing looks similar,0,It was him,2
I think it was wrote by Hines,2,I,2,a,2,g,2,s,2,t,2,L,2
The U and N are written the same however the size differential of the letters could also be the key takeaway that maybe it's not the same. I am no expert in handwriting detection so I would need to be convinced by a witness who testified that it is. ,1,I am no expert in handwriting detection so I would need to be convinced by a witness who testified that it is. ,2,,NA,,NA,,NA,,NA,,NA
"The ""l""'s are slanted to the right in the first note and left in the second. ",1,The spacing between the words in the first note is much larger than in the second. ,1,"The ""o""'s are slanted to the right in the first note but slightly to the left in the second. ",1,"The ""h""'s in the first note are more fluid and squiggly than in the second. ",2,,NA,,NA,,NA
The angle of the written words. A is slanted while B is written more straight.,1,"The ""r""s are vastly different to be by the same person.",2,"A doesn't have many connected letters while B does, showing different writing styles.",1,"Specifically ""keep"" in A and ""agree"" in B are vastly different because A doesn't connect the letters while B does.",1,"A is more loopy in its letters than B, B is more straight lined.",2,"In words like ""shoot"", A is more curved up with its letters than B, which usually point down in words like ""silent"".",2,"The spacing between words is different. A is more spaced out compared to B, indicating A was more carefully written than B was.",1
the way he wrote his r and g,2,"his way of writing r is different, with one written the same way like a v and the other written with on stroke going up.",2,"g is the difference in closing the loop in the letter, you can tell the first doesn't like doing that since he did it with his q as well. ",1,,NA,,NA,,NA,,NA
"G. The one in the bank letter has a harsh slope while in the police letter, both gs are more round.",2,A. The a at the bottom is different.,1,"U. The way the ""u"" connects to the ""n"" in the robbery letter is completely different than the ""u"" in the second letter.",1,S,2,M in the top letter has a line coming through the top while the one at the bottom is simply rounded,2,L (the ones at the top are straighter than the one at bottom).,2,,NA
the closeness of the letters in each word and the way the letters interact with each other and the shape of the letters are pretty different even when there are similarities,2,gun and agree,2,I,2,your,2,lawyer,2,talk,2,my and me,2
the T,2,"the t is very dissimilar, so is the general font",0,,NA,,NA,,NA,,NA,,NA
the a's look very similar,0,"the e's look similar as well, except in the bank note theyre messier",0,,NA,,NA,,NA,,NA,,NA
"the a's, m's, and l's",2,"the a's are shaped differently and the end is curved and not curved, the l's slant to different sides, and the m's are straight in one note and curved in the other",1,,NA,,NA,,NA,,NA,,NA
"t - in the bank note, it is crossed near the top (shoot). In the second note, it is in the middle mostly, and in ""time"" even near the bottom",2,"a - written the same way, started at top, tail juts out",0,"h - same as a, disconnexted. Like a squiggle for example.",0,"I - the crossings on Ex A slant up to the right parallel, and in B as well. BUT in A, the second I has their crossings converging",2,n - squiggled both times. Just like a and h,2,"r - pointy and v-like in almost all instances, but not in agree",2,o - connection to other parts show it is written from the top,2
n,2,a,2,e,2,i,2,,NA,,NA,,NA
the letter e,2,the letter t,2,the letter n,2,e looks similar,0,t looks similar,0,n looks similar,0,he may consciouslly change the way he write when conducting the crime,2
the letter N in both look identical,0,the letter H looks similar,0,the letter I looks similar,0,the spacing between the letters is kind of similar,0,the letter A also looks similar,0,,NA,,NA
a,2,"""a"" looks very different",1,,NA,,NA,,NA,,NA,,NA
don't look that similar,0,,NA,,NA,,NA,,NA,,NA,,NA
the messiness of the handwriting ,2,Proportions of the letters,2,1,2,1,2,12,2,2,2,3,2
"both way of writing letter ""e"" are similar ",0,,NA,,NA,,NA,,NA,,NA,,NA
"I think the word ""n"" is similar.",0,"Words are round, which are similar.",0,The style of the word is very similar.,0,It is acceptable that the word can be a little bit different since they were written in different environments.,1,"When ask for the cash, the person is in a hurry",2,"When in the police department, the person have a lot of time",2,"Therefore, the person can take a lot of time to write, which make the two notes a little bit different.",1
contents,2, ,NA, ,NA, ,NA, ,NA, ,NA, ,NA
g,2,I,2,t,2,a,2,h,2,e,2,n,2
remain silent ,2,call a lawyer,2,agree,2,quiet,2,shoot,2,give me,2,I understand my rights,2
The t's,2,the h's ,2,the s's,2,the spacing ,2,the inclination of the letters ,2,the I's ,2,the a's ,2
The I is very similar ,0,the style of handwriting is similar ,0,,NA,,NA,,NA,,NA,,NA
dot of i's,2,rounded peak of m's,2,connected e's,2,shape of a's,2,messiness vs cleaness,2,spaced out differently,1,,NA
I,2,h,2,g,2,u,2,n,2,a,2,s,2
The I's are similar I think especially the second I in the writing sample to the first I in the bank note.,0,"The ""a""'s are also very similar ",0,"The ""t"" are all crossed in about the middle not really much difference in them",1,,NA,,NA,,NA,,NA
g,2,u,2,a,2,i,2,m,2,r,2,n,2
a,2,m,2,,NA,,NA,,NA,,NA,,NA
The “s” in the two writing sample are different ,1,“M”also looks different,1,“Y” also different,1,,NA,,NA,,NA,,NA
A; the a's look so similar I almost thought he was guilty. ,0,I: the i's look similar but the way they're written look and feel like it was written by two different people,2,H: the h's look very similar like a's ,0,R: the r's aren't written with the same lengths ,0,,NA,,NA,,NA
"THE SLANT OF THE WRITING IS OFF FOR HIS I's, they tilt opposite ways",2,the e's are also written differently in each sample,1,,NA,,NA,,NA,,NA,,NA
"the way of writing ""I""",2,"the way of writing ""m""",2,"the way of writing ""h""",2,the below was written more neatly,2,the space between words on the above is bigger,1,"the way of writing ""g""",2,"the way of writing ""r""",2
Letter I. The long length of the upper and lower line on letter I.,2,It is interesting how Letter I is emphasised in his writing.,2,"Letter e & a is similarly scripted as well. although the second page writing are small, the style, characters are similar in how its written. He elongates ""e"" with a little line in the beginning of making the circle in e interestingly.",0,"His ""s"" in ""shoot"" and ""silent"" is so similar in the way when people write it at the start of left side of a paper. His ""s"" in this case, slightly curves up at the tail of ""s."" ",0,There are more slightly similar ones too when you closely look at it.,0,Hence why it makes me believe he would be guilty.,2,...,2
h’s- no tail,2,a’s- different height,1,spacing - words much closer together,2,,NA,,NA,,NA,,NA
The way each letter is written and the difference between each.,1,I,2,u,2,n,2,,NA,,NA,,NA
I,2,e,2,h,2,,NA,,NA,,NA,,NA
"The letter ""h""",2,How he draws the letter h in both notes seems similar to me. ,0,,NA,,NA,,NA,,NA,,NA
The way he wrote his h's.,2,I made my decision on how consistent the h's were in the original letter and how they were different than the way they were written in Mr. Hines letter.,1,,NA,,NA,,NA,,NA,,NA
There is a difference in the handwriting of the two,1,I noticed that the way he wirte 'h' is quiet different,1,,NA,,NA,,NA,,NA,,NA
agree and rights versus gun and quiet is why i dont believe he wrote that,2,,NA,,NA,,NA,,NA,,NA,,NA
The capital i's are very similar,0,,NA,,NA,,NA,,NA,,NA,,NA
I,2,l,2,a,2,t,2,s,2,e,2,g,2
the way that the r's are written are not the same ,1,the way that the a's are written are not the same,1,the way that the e's are written are not the same,1,,NA,,NA,,NA,,NA
"The space between the letters ""U"" and ""N"" in ""gun"" on the robbery note and no space between the ""U"" and ""N"" in ""understand"" in Mr.Hines note",2,"The way the ""M""'s are written",2,,NA,,NA,,NA,,NA,,NA
the letter a in both samples look very similar,0,the first sample can look like a rushed version of the second,2,the letter e is connected to the previous letter in both samples,2,the letter t is very different in both samples,1,the first sample is less straight,2,the capital letters in the first sample are much bigger,1,the letter s in both samples look very similar,0
The letter a is more curved in the second handwritten form.,2,The I's are also more slanted on the first handwritten note.,1,,NA,,NA,,NA,,NA,,NA
"the letters weren't all written the same, the letter g looks really different",2,The writing also looks much larger in the exhibit a,1,,NA,,NA,,NA,,NA,,NA
"I do have some knowledge on forensic writing analysis, so I know that depending on the situation/one's feelings at the time, their handwriting can change. The lack of lines in the second writing sample also adds to the difficulty of analysis. However, I do believe that Mr. Hines wrote both notes, since both writings look somewhat similar, and the top one is characteristic of a high-energy moment, while the second might be a calmer time. It's still pretty hard to tell regardless, which is why I am unconfident.",0,,NA,,NA,,NA,,NA,,NA,,NA
The I looks similar,0,The s looks similar,0,,NA,,NA,,NA,,NA,,NA
"isolating certain letters such as ""I"" ""a"" ""e""",2,These letters and more simply don't match the way they were ,2,written in the bank note ,2,,NA,,NA,,NA,,NA
the letter I E A and T used ,2,Since the letter I E A and t are used frequently in English speaking and writing I was specifically checking on these letters and found that the hand writings of these letters are not really similar in both writings,0,,NA,,NA,,NA,,NA,,NA
How the letters were written,2,"The way that the letters ""r"" ""I"" and ""t"" are written are inconsistent between the two notes.",2,,NA,,NA,,NA,,NA,,NA
"the letters y, i, a, g",2,these letters look very similar ,0,,NA,,NA,,NA,,NA,,NA
just the style of the writing,2,,NA,,NA,,NA,,NA,,NA,,NA
t,2,a,2,l,2,s,2,,NA,,NA,,NA
"how the ""I"" is dotted ",2,the space between the letters,2,the general shape of the letters,2,"the differences in the letter ""a"" ",1,"differences in the letter ""c""",1,"differences in the letter ""g""",1,"differences in the letter ""o""",1
The space between the letters is what mainly what influenced my decision and also the lack of capitol letters in the writing sample.  The first note switches to add one capital T midstence. ,2,I,2,l,2,,NA,,NA,,NA,,NA
The o's are dissimilar in both samples.,0,The a's are dissimilar in both samples.,0,The l's go in dissimilar directions in both samples.,0,The h's are vastly dissimilar in both samples.,0,The n's are extremely similar in both samples.,0,"The ""un"" in ""gun"" in the first sample has its letters separated; the ""un"" in ""understand"" in sample 2 is continuous.",2,The e's are dissimilar in both samples.,0
r,2,u,2,a,2,n,2,i,2,t,2,l,2
I,2,T,2,A,2,O,2,S,2,U,2,N,2
the s and h are very similar. ,0,,NA,,NA,,NA,,NA,,NA,,NA
I focused on the way the G nad Y's are written since those are pretty similar,0,"Spacing between letters, writing style",2,Legibility writing style,2,,NA,,NA,,NA,,NA
Some of the letters are connected with each other,2,a,2,e,2,s,2,r,2,n,2,m,2
Handwriting,2,Grammar structure,2,Vocabulary,2,,NA,,NA,,NA,,NA
the details of the writing,2,the difference in the letter h,1,the difference in the letter g,1,the difference in the letter m,1,the difference in the letter u,1,the difference in the letter y,1,the difference in the letter i,1
I,2,L,2,s,2,these characters seem to be similar in both of the letters,0,y,2,a,2,these two characters are slightly different in the two letters.,1
r is very different,1,l is A is slanted one way but the 'l's in B are slanted the opposite way,1,i is dotted with a dot in A and a dash in B,2,"'I', 't', 'y' are very similar though",0,,NA,,NA,,NA
The way that the two people wrote the letter n,2,,NA,,NA,,NA,,NA,,NA,,NA
The way that the certain letters are written,2,The A's are not the same on both papers,1,The E's have some resemblance but that is a standard way of writing them,2,"Even if he was in a circumstance which would change his hand writing in these ways, it would not be this significantly different",1,The I's are not really matching to a sufficient degree,2,"The M's are different, with it being curvier in the bank teller note, which would not match the energy of a scared man about to do a robbery. It makes less sense for him to write neater and softer in this time than in the station",1,The Rs are not similar enough,1
i,2,t,2,a,2,g,2,o,2,u,2,r,2
"The shape of the h, in the robbery note it is more slanted ",1,"The shape of the I, the robbery note is more crooked",2,"the spacing of the letters are different, more sparse in police note",1,the y in my versus the y in you. They are written differently,1,,NA,,NA,,NA
the spaces in the middle  and the curved letters,2,the spaces in the midlle just don't line up,2,the curved letters look different,1,it just doesn't match ,2,also the dots after every sentence whereas the other one is run on,2,,NA,,NA
r and t,2,the r in the first note look like v,2,the r in the second note look like r,2,the t in the first note is crossed very high,2,the t in the second note is crossed low,2,,NA,,NA
Just overall ,2,"Seems like he was trying to hard to write differently but the two still somewhat resemble each other, for example the slanted T. This is probably his writing style when writing casually (slanted words), but tried to disguise and write properly in a formal way.",1,,NA,,NA,,NA,,NA,,NA
Spacing of the perp was larger than Mr.Hines.,1,Perps 'a' was rounder then Mr.Hines.,2,"Perps handwriting is more slanted to the right, Mr. Hines leaned slightly left.",1,Mr. Hines sample was overall neater.,2,"Honestly, they do look quiet similar",0,"Still, there are enough little differences that allows me to believe they were not written by the same man",2,"Also, it would be a lie to say the other evidence didn't pursue my decision. I believe with the political climate between police officers and the African American community, Mr. Hines being nervous was not out of question. Plus, no evidence was found on hand, and he cooperated with the investigation.",2
g,2,a,2,r,2,,NA,,NA,,NA,,NA
similarity: upper right corner of capital I,0,similarity: letter t,0,"dissimilarity: letter m, one is round and the other acute",0,"bottom have the tendency to alter the inclination of skewness, which looks like an intensional disguise",2,,NA,,NA,,NA
 letter I,2,letter E,2,letter u,2,letter n,2,,NA,,NA,,NA
U,2,N,2,Y,2,A,2,,NA,,NA,,NA
The spacing between words was different ,1,The t crosses were lower on exhibit B than A,2,,NA,,NA,,NA,,NA,,NA
The u seems different. The one on the bottom seems more concise ,1,,NA,,NA,,NA,,NA,,NA,,NA
"the T is written different, with the horizontal line being much lower in the second picture",1,"The R is written different, alot less pronounced curve in the first one",1,"The I is dotted on the second one, and does not have a dot on the first one",2,,NA,,NA,,NA,,NA
Capital i ,2,Letter y,2,letter g,2,letter e,2,letter s' inclination,2,,NA,,NA
I,2,i ,2,G,2,g,2,,NA,,NA,,NA
the letter i,2,,NA,,NA,,NA,,NA,,NA,,NA
Writing Style ,2,g,2,I,2,t,2,e,2,u,2,a,2
"The letter I, very wide and bold, in A it's casually written as a threat, in B it's formally written, but I is still big and wide",2,"The letter y, the person writes it as a combination of u and y",2,,NA,,NA,,NA,,NA,,NA
The capital I's are slightly different,1,The lowercase u's are different,1,The S's are different,1,The writings are at two different slants,1,The spacing of the letters are different,1,The o's are different,1,The k's are different,1
"the way the ""e"" was written",2,"the slight tilt of the ""I"" ",2,"letter ""g""",2,"the letter ""a""",2,"the way he wrote ""s""",2,"""keep"" and ""agree"" (when he connects his words)",2,t,2
the I shape,2,,NA,,NA,,NA,,NA,,NA,,NA
the connection of the e's after thr pervious letter in the second exibit are not the same as the first,1,,NA,,NA,,NA,,NA,,NA,,NA
The a's are rather similar ,0,the m's are differnt ,1,the e's are differnent,1,The spacing of words ,2,the t's are different,1,,NA,,NA
the capitol letters and the Ls and Is are very tall,2,I,2,L,2,T,2,,NA,,NA,,NA
I think its not similar,1,letter s,2,The text above is slanted,1,The following text is straight forward,2,The text above is longer,2,The text below is flatter,1,K,2
"the similar letters, the first note might be rushed and not neat like the second but some of the letters are similar",0,the letter e is very close,2,"although the capital I looks different, it could be because one was written in a hurry",1,the letter n is the same,0,the K is the same,0,the same punctuation use,0,the letter y is the same too,0
G,2,K,2,T,2,i,2,,NA,,NA,,NA
The handwriting aspect of the writing aspect informed my opinion.,2,agree- the g and the a,2,"The ""I"" is also written differently",1,the g in rights is also written differently,1,The spacing of the words is also different ,1,The i's are also written differently.,1,The s is also slightly different.,1
"The letter ""h"" has a different concavity",1,"The letter ""g"" looks more disconnected in the robber's note",2,"The letter ""r"" looks curvier to me in the waiving of rights",2,The angle of the letters is slightly slanted on the robber's note,1,"The ""o"" is a differnet shape with the robber's being rounder",1,"The ""t"" is crossed lower consistently on Hines's waiver.",2,"These pieces of information mean that Mr. Hines did not right the note, and is most likely not the robber",2
